sensor_index,date_created,private,name,icon,location_type,model,hardware,latitude,longitude
108690,1623455827,0,Rooftop ~,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,44.042538,-123.04097
108702,1623701190,0,Fourtress,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,38.243534,-122.699776
108706,1623701210,0,FB2,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,40.628098,-75.34148
108712,1623701233,0,"275th Ave NE &amp; NE 148th Way, Duvall",0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,47.735016,-121.97199
108716,1623701266,0,FB3,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,40.628082,-75.34136
108726,1623701337,0,Hansen Ln,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,38.939465,-119.82501
108744,1623706794,0,College &amp; Jones,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,37.216785,-121.98351
108758,1623706894,0,Painted Hills,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,47.60486,-117.230415
108764,1623706910,0,Reno and Edison,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,45.596626,-122.765205
108774,1623707118,0,Canticle Farm,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,37.78147,-122.21724
108780,1623708030,0,Nez Perce National Historical Park,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,46.447422,-116.82278
108804,1623710023,0,Breitenbush Hot Springs Power House,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,44.781574,-121.976654
108808,1623710034,0,Moonhaw Valley,0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,41.9838,-74.326515
108812,1623710135,0,Rocky Hill,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,38.37598,-122.57668
108814,1623710518,0,Magnolia High School Outdoor Sensor,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33.81534,-117.97364
108816,1623710899,0,LCSD-Silver Springs,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,39.39038,-119.28375
108818,1623710905,0,Pumpshed,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.462696,-122.86374
108824,1623784977,0,CleanAirNow/IndianMound,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,39.11502,-94.5284
108826,1623784981,0,CleanAirNow/TheHub,0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,39.071255,-94.67605
